"WE Blocks – Image, Testimonial And Logo	Slider Gutenberg Blocks",https://wordpress.org/plugins/we-blocks/,9
Custom Twitter Feeds (Tweets Widget),https://wordpress.org/plugins/custom-twitter-feeds/,344
WS Form LITE – Drag & Drop Contact Form Builder for WordPress,https://wordpress.org/plugins/ws-form/,86
Superb Gutenberg Blocks,https://wordpress.org/plugins/superb-blocks/,1
Classic Editor,https://wordpress.org/plugins/classic-editor/,1040
Akismet Spam Protection,https://wordpress.org/plugins/akismet/,928
"Jetpack – WP Security, Backup, Speed, & Growth",https://wordpress.org/plugins/jetpack/,1716
Classic Widgets,https://wordpress.org/plugins/classic-widgets/,192
Gutenberg,https://wordpress.org/plugins/gutenberg/,3506
Preferred Languages,https://wordpress.org/plugins/preferred-languages/,14
Two-Factor,https://wordpress.org/plugins/two-factor/,147
Application Passwords,https://wordpress.org/plugins/application-passwords/,31
Contact Form 7,https://wordpress.org/plugins/contact-form-7/,1931
Yoast SEO,https://wordpress.org/plugins/wordpress-seo/,27430
Elementor Website Builder,https://wordpress.org/plugins/elementor/,6077
Classic Editor,https://wordpress.org/plugins/classic-editor/,1040
